	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
114	114	DeBERTa-base	bertKM	40	0.324	0.184	
115	115	DeBERTa-base	ALPS	40	0.344	0.243	
116	116	DeBERTa-base	Entropy	40	0.327	0.187	
117	117	RoBERTa-base	bertKM	40	0.322	0.229	
118	118	RoBERTa-large	Density	40	0.331	0.173	
119	119	RoBERTa-base	Entropy	40	0.407	0.331	
120	120	DeBERTa-base	bertKM	50	0.333	0.178	
121	121	BERT-base	Density	50	0.333	0.167	
122	122	DeBERTa-base	BADGE	50	0.349	0.211	
123	123	BERT-large	Entropy	50	0.349	0.208	
124	124	BERT-large	bertKM	50	0.398	0.345	
125	125	DeBERTa-large	BADGE	50	0.358	0.221	
126	126	DeBERTa-base	Entropy	50	0.336	0.189	
127	127	RoBERTa-large	bertKM	50	0.402	0.325	
128	128	DeBERTa-base	ALPS	50	0.391	0.335	
129	129	BERT-base	Entropy	50	0.333	0.167	
130	130	RoBERTa-base	BADGE	50	0.378	0.300	
131	131	BERT-base	BADGE	50	0.347	0.234	
132	132	RoBERTa-large	BADGE	50	0.344	0.235	
133	133	RoBERTa-base	Entropy	50	0.367	0.295	
134	134	BERT-large	ALPS	50	0.351	0.247	
135	135	RoBERTa-base	ALPS	50	0.340	0.246	
136	136	RoBERTa-large	Entropy	50	0.358	0.272	
137	137	RoBERTa-large	Density	50	0.316	0.191	
138	138	BERT-base	bertKM	50	0.333	0.167	
139	139	DeBERTa-large	bertKM	50	0.473	0.407	
140	140	RoBERTa-large	ALPS	50	0.391	0.328	
141	141	DeBERTa-large	Density	50	0.333	0.167	
142	142	BERT-large	BADGE	50	0.353	0.229	
143	143	RoBERTa-base	bertKM	50	0.333	0.185	
144	144	BERT-large	Density	50	0.338	0.190	
145	145	DeBERTa-large	ALPS	50	0.502	0.493	
146	146	RoBERTa-base	Density	50	0.327	0.168	
147	147	BERT-base	ALPS	50	0.338	0.241	
148	148	DeBERTa-large	Entropy	50	0.358	0.223	
149	149	DeBERTa-base	Density	50	0.331	0.168	
150	150	BERT-base	BADGE	60	0.338	0.225	
151	151	BERT-base	Density	60	0.333	0.167	
152	152	DeBERTa-large	ALPS	60	0.407	0.344	
153	153	RoBERTa-base	ALPS	60	0.351	0.269	
154	154	RoBERTa-base	Entropy	60	0.378	0.304	
155	155	RoBERTa-large	ALPS	60	0.369	0.319	
156	156	RoBERTa-large	Entropy	60	0.436	0.357	
157	157	RoBERTa-large	bertKM	60	0.400	0.326	
158	158	RoBERTa-large	Density	60	0.322	0.187	
159	159	RoBERTa-large	BADGE	60	0.340	0.191	
160	160	BERT-base	bertKM	60	0.336	0.172	
161	161	DeBERTa-large	Entropy	60	0.362	0.231	
162	162	DeBERTa-large	BADGE	60	0.382	0.275	
163	163	DeBERTa-large	Density	60	0.333	0.167	
164	164	DeBERTa-large	bertKM	60	0.580	0.586	
165	165	RoBERTa-base	bertKM	60	0.336	0.229	
166	166	BERT-large	BADGE	60	0.371	0.270	
167	167	BERT-large	Density	60	0.344	0.203	
168	168	BERT-large	bertKM	60	0.380	0.314	
169	169	RoBERTa-base	Density	60	0.327	0.184	
170	170	DeBERTa-base	bertKM	60	0.329	0.174	
171	171	BERT-large	ALPS	60	0.362	0.268	
172	172	DeBERTa-base	Density	60	0.331	0.168	
173	173	RoBERTa-base	BADGE	60	0.378	0.300	
174	174	DeBERTa-base	BADGE	60	0.367	0.247	
175	175	BERT-base	ALPS	60	0.331	0.197	
176	176	BERT-large	Entropy	60	0.347	0.201	
177	177	BERT-base	Entropy	60	0.331	0.170	
178	178	DeBERTa-base	ALPS	60	0.360	0.252	
179	179	DeBERTa-base	Entropy	60	0.342	0.189	
180	180	BERT-large	BADGE	70	0.398	0.317	
181	181	RoBERTa-large	Density	70	0.329	0.173	
182	182	DeBERTa-large	bertKM	70	0.549	0.532	
183	183	RoBERTa-large	bertKM	70	0.367	0.283	
184	184	BERT-large	Entropy	70	0.349	0.211	
185	185	BERT-base	Entropy	70	0.329	0.169	
186	186	BERT-large	bertKM	70	0.429	0.362	
187	187	RoBERTa-large	ALPS	70	0.433	0.407	
188	188	DeBERTa-large	ALPS	70	0.484	0.463	
189	189	RoBERTa-base	bertKM	70	0.360	0.280	
190	190	RoBERTa-base	Density	70	0.322	0.198	
191	191	DeBERTa-large	Density	70	0.331	0.171	
192	192	DeBERTa-base	BADGE	70	0.351	0.209	
193	193	DeBERTa-large	BADGE	70	0.407	0.324	
194	194	DeBERTa-base	ALPS	70	0.367	0.244	
195	195	DeBERTa-base	Entropy	70	0.373	0.257	
196	196	BERT-base	Density	70	0.333	0.167	
197	197	BERT-large	Density	70	0.333	0.178	
198	198	BERT-base	ALPS	70	0.336	0.217	
199	199	RoBERTa-large	Entropy	70	0.398	0.341	
200	200	BERT-large	ALPS	70	0.380	0.289	
201	201	BERT-base	bertKM	70	0.336	0.172	
202	202	DeBERTa-base	bertKM	70	0.338	0.195	
